bowler_labels,wicketcounts_2020
CM Taylor (Southern Vipers),15
KE Bryce (Lightning),14
TG Norris (Southern Vipers),12
BA Langston (Northern Diamonds),12
GM Hennessy (Western Storm),11
FMK Morris (Western Storm),11
KA Levick (Northern Diamonds),11
A Hartley (Thunder),11
PJ Scholfield (Southern Vipers),9
CE Dean (Southern Vipers),9
NE Farrant (South East Stars),9
LF Higham (Lightning),8
Anisha Patel (Central Sparks),8
JL Gunn (Northern Diamonds),8
CK Boycott (Central Sparks),8
KJ Wolfe (Sunrisers),7
HV Jones (South East Stars),7
J Gardner (Sunrisers),7
GL Adams (Southern Vipers),7
LK Bell (Southern Vipers),7
Sonali Patel (Sunrisers),7
EA Russell (Central Sparks),6
KH Brunt (Northern Diamonds),6
B Ellis (Lightning),6
HJ Armitage (Northern Diamonds),6
L Heap (Thunder),5
D Gregory (South East Stars),5
AD Presland (Lightning),5
HL Baker (Central Sparks),4
N Brown (Thunder),4
LCN Smith (Northern Diamonds),4
S Ecclestone (Thunder),4
S Munro (Lightning),4
AL MacDonald (Northern Diamonds),4
HE Jones (Thunder),4
BF Smith (South East Stars),4
GK Davis (Central Sparks),4
AJ Macleod (Sunrisers),4
EL Arlott (Central Sparks),3
PAC Cowdrill (Southern Vipers),3
L Filer (Western Storm),3
S Hutchins (Western Storm),3
IECM Wong (Central Sparks),3
KL Gordon (Lightning),3
SIR Dunkley (South East Stars),3
T Graves (Lightning),3
G Scrivens (Sunrisers),3
A Griffiths (Western Storm),3
C Nicholas (Western Storm),2
PC Graham (Northern Diamonds),2
TF Brookes (Central Sparks),2
NR Sciver (Northern Diamonds),2
N Harman (Lightning),2
MS Belt (South East Stars),2
A Capsey (South East Stars),2
KL Midwood (Sunrisers),2
HC Knight (Western Storm),2
LG Kellogg (Lightning),2
AE Dyson (Thunder),2
E Gray (South East Stars),2
L Jackson (Thunder),2
KL Cross (Thunder),2
E Corney (Western Storm),2
KL George (Western Storm),2
ME Bouchier (Southern Vipers),1
AN Davidson-Richards (South East Stars),1
SN Luff (Western Storm),1
KS Castle (Sunrisers),1
S Glenn (Central Sparks),1
C Brewer (South East Stars),1
EM Edgcombe (Western Storm),1
Olivia Thomas (Thunder),1
AG Gordon (South East Stars),1
N Holland (Western Storm),1
DN Wyatt (Southern Vipers),1
MK Villiers (Sunrisers),1
