match_id,Team1,Team2,Season,Toss_Winner,Toss_Decision,Winner,Winning_Margin,ByWickets,ByRuns
202201,Central Sparks,Southern Vipers,2022,Southern Vipers,field,Southern Vipers,7,Y,N
202202,South East Stars,Sunrisers,2022,South East Stars,bat,South East Stars,80,N,Y
202203,Western Storm,Lightning,2022,Lightning,field,Western Storm,75,N,Y
202204,Northern Diamonds,Thunder,2022,Thunder,bat,Northern Diamonds,6,Y,N
202205,Central Sparks,Western Storm,2022,Central Sparks,bat,Central Sparks,22,N,Y
202206,Northern Diamonds,Sunrisers,2022,Northern Diamonds,bat,Northern Diamonds,6,Y,N
202207,Thunder,Lightning,2022,Thunder,bat,Lightning,5,Y,N
202208,Southern Vipers,South East Stars,2022,South East Stars,field,Southern Vipers,133,N,Y
202209,Central Sparks,Northern Diamonds,2022,Central Sparks,bat,Northern Diamonds,5,Y,N
202210,South East Stars,Thunder,2022,South East Stars,bat,South East Stars,52,N,Y
202211,Sunrisers,Western Storm,2022,Sunrisers,bat,Western Storm,3,Y,N
202212,Southern Vipers,Lightning,2022,Southern Vipers,bat,Southern Vipers,66,N,Y
202213,Southern Vipers,Sunrisers,2022,Southern Vipers,bat,Southern Vipers,11,N,Y
202214,South East Stars,Western Storm,2022,South East Stars,bat,South East Stars,36,N,Y
202215,Lightning,Northern Diamonds,2022,Lightning,bat,Northern Diamonds,1,Y,N
202216,Thunder,Central Sparks,2022,Central Sparks,field,Thunder,28,N,Y
