match_id,Team1,Team1_batting_score,Team1_bowling_score,Team2,Team2_batting_score,Team2_bowling_score
202201,Central Sparks,0.40720919949689055,0.39877519803199607,Southern Vipers,0.4468429910376148,0.5713121543854182
202202,South East Stars,0.34052888584962776,0.31989629863312025,Sunrisers,0.30145579658078747,0.20479345690035805
202203,Western Storm,0.44700848289966844,0.2801878407450754,Lightning,0.45419108350441534,0.3895227509169014
202204,Northern Diamonds,0.4114080803983864,0.5669632686050567,Thunder,0.2686014548857073,0.4805585809270627
202205,Central Sparks,0.40720919949689055,0.39877519803199607,Western Storm,0.404985107457944,0.2267533324599364
202206,Northern Diamonds,0.4407407920076973,0.47903813218943647,Sunrisers,0.31885341925311284,0.20479345690035805
202207,Thunder,0.26153955804742096,0.47598812899295767,Lightning,0.4686219850626559,0.32679339702482346
202208,Southern Vipers,0.4248335590749796,0.48614898229884335,South East Stars,0.3509988601031382,0.31206937395516243
202209,Central Sparks,0.39032149983546144,0.3679257421734032,Northern Diamonds,0.4869889569108,0.569970991256598
202210,South East Stars,0.290340422086325,0.3428387988979713,Thunder,0.2607251473709431,0.47598812899295767
202211,Sunrisers,0.33703289727417446,0.20479345690035805,Western Storm,0.4148289019984979,0.2366085031363391
202212,Southern Vipers,0.35937952158286257,0.491792857419112,Lightning,0.42579351468345167,0.34772076135415997
202213,Southern Vipers,0.4121739893646812,0.5428686799949975,Sunrisers,0.33703289727417446,0.20479345690035805
202214,South East Stars,0.24931764877955834,0.33585709695400384,Western Storm,0.4431616694879603,0.22474027585997736
202215,Lightning,0.4786725492633073,0.39530361918359563,Northern Diamonds,0.4776047873570552,0.6208504334802638
202216,Thunder,0.2794901400901171,0.49753293917743485,Central Sparks,0.40720919949689055,0.4047616195628411
